,Si,F,Br,I,code
3,2079,1.536796537,0.10255734,0.594990718,b000
11,1941,0.086038125,0.033249583,0.106314251,b000
18,591,0.169204738,0.10046362,0.199369126,b000
19,109,0.449541284,0.084285193,0.231398237,b000
22,884,0.127828054,0.053068665,0.112886789,b000
30,206,0.252427184,0.09040897,0.682067229,b000
37,961,0.123829344,0.048983969,0.126263588,b000
46,499,0.20240481,0.085394954,0.234276039,b000
52,650,0.176923077,0.156728536,0.242842607,b000
73,772,0.174870466,0.087157446,0.231304188,b000
76,358,0.198324022,0.136552983,0.381357028,b000
78,2514,0.142800318,0.114659329,0.15002505,b000
81,376,0.284574468,0.156785578,0.474370122,b000
82,5011,0.07024546,0.044158142,0.095712396,b000
84,693,0.145743146,0.089150345,0.243408169,b000
86,1732,0.095842956,0.052167151,0.132567057,b000
92,194,0.603092784,0.355380066,0.787929043,b000
10,840,0.16547619,0.072808487,0.594025428,b001
15,980,0.084693878,0.045010406,0.510280812,b001
17,2281,0.088996054,0.025107204,0.567829672,b001
23,3512,0.086845103,0.031786272,0.346811652,b001
24,1548,0.082687339,0.033058124,0.517577487,b001
27,2997,0.143143143,0.024318406,0.622597653,b001
32,784,0.156887755,0.055312528,0.709942594,b001
45,622,0.090032154,0.049162387,0.606093259,b001
49,783,0.243933589,0.089267954,0.714592362,b001
57,2326,0.072656922,0.02904873,0.592738203,b001
59,1083,0.118190212,0.043503063,0.733091775,b001
60,1029,0.124392614,0.050823332,0.681061794,b001
66,1087,0.081876725,0.047878489,0.627910137,b001
67,1806,0.095791805,0.048688266,0.706362355,b001
74,778,0.16966581,0.090579818,0.954734567,b001
79,3158,0.064914503,0.039588235,0.65868156,b001
83,1506,0.120185923,0.087810782,0.795611847,b001
85,2553,0.135918527,0.056330961,0.683864578,b001
91,880,0.235227273,0.147115114,0.830637123,b001
97,2636,0.158952959,0.080608309,0.796936325,b001
98,1348,0.341246291,0.137476164,0.983540611,b001
6,1021,0.125367287,0.119920161,0.166844225,b010
12,2736,0.107821637,0.033421998,0.121283822,b010
31,1585,0.07192429,0.078741701,0.068820885,b010
38,964,0.078838174,0.099160197,0.106263802,b010
41,526,0.095057034,0.096848631,0.120861911,b010
43,440,0.193181818,0.257071853,0.305568103,b010
47,4664,0.063679245,0.07988297,0.05960865,b010
48,589,0.14770798,0.165670645,0.148351506,b010
50,840,0.080952381,0.102659307,0.102767207,b010
58,679,0.145802651,0.126880271,0.137453761,b010
69,956,0.118200837,0.144645157,0.15152904,b010
71,698,0.137535817,0.163373399,0.152847026,b010
72,2124,0.092749529,0.119650128,0.132112465,b010
75,987,0.139817629,0.151238823,0.14260105,b010
0,1572,2.05216285,0.059321981,0.165039662,b100
2,2523,1.96868807,0.036080025,0.123590336,b100
4,4815,2.338317757,0.092798848,0.121558618,b100
14,1355,1.884132841,0.042983785,0.123242872,b100
16,692,1.926300578,0.087831142,0.202560824,b100
28,1343,1.817572599,0.033877488,0.08463467,b100
36,410,1.66097561,0.047544365,0.430337552,b100
44,1089,1.623507805,0.02945672,0.106799819,b100
53,401,2.259351621,0.081182577,0.192513519,b100
54,801,2.042446941,0.040796026,0.149235339,b100
56,2312,2.115484429,0.021885598,0.074286545,b100
70,734,2.286103542,0.072563874,0.15968901,b100
88,1510,1.956953642,0.110311443,0.154286158,b100
90,2893,2.080539233,0.062404249,0.126286823,b100
7,144,3.979166667,0.158327142,1.013799654,b101
9,2132,1.781425891,0.038680632,0.580807294,b101
29,1470,1.692517007,0.056774445,0.574689403,b101
62,1311,2.194508009,0.054064724,0.766148899,b101
64,539,2.879406308,0.074489005,0.825731999,b101
68,1306,2.712863706,0.075493556,0.751368521,b101
80,1058,3.482986767,0.087410631,0.830915469,b101
94,752,2.444148936,0.069527829,0.989447576,b101
96,1231,2.523151909,0.118690254,0.840207538,b101
99,1788,2.657718121,0.116781105,0.863981309,b101
13,1849,1.943212547,0.10739755,0.130722051,b110
26,1739,2.326049454,0.086003044,0.123240735,b110
33,2498,1.933947158,0.124291351,0.098110684,b110
34,3077,2.603834904,0.095005762,0.085698305,b110
55,1576,2.802664975,0.166822967,0.143967688,b110
87,1726,3.289687138,0.168146168,0.173849093,b110
89,231,3.121212121,0.580427174,0.861453738,b110
1,1048,3.298664122,0.307819632,0.684913723,b111
5,24992,0.749119718,0.058694325,0.244284388,b111
8,27277,0.443670492,0.040386412,0.296691055,b111
20,1157,1.000864304,0.577464332,0.486388265,b111
21,5384,1.83153789,0.223720714,0.491724108,b111
25,1391,2.038820992,0.283487854,0.686906788,b111
35,2388,2.012981575,0.255361941,0.536272188,b111
39,3376,2.009182464,0.143029892,0.5788726,b111
40,3356,1.90613826,0.224327568,0.516557258,b111
42,1192,2.044463087,0.241482165,0.467393389,b111
51,1371,3.11086798,0.373863567,0.742043468,b111
61,2366,2.393913779,0.27598848,0.640108172,b111
65,3297,0.76433121,0.194620782,0.308548891,b111
77,1783,0.862030286,0.179516116,0.331535111,b111
93,1447,3.492052522,0.376789786,0.701296927,b111
95,5200,1.918076923,0.270326322,0.588172936,b111
